HudongItem1,relation,HudongItem2
gangrene,health specialty,病理学
贝加尔湖,basin country,蒙古国
房,subclass of,多配偶制
磷蛋白,subclass of,蛋白质
chamber,subclass of,机械
1629年,follows,1628年
贝加尔湖,continent,亚洲
Zepp,country,日本
中亚滨藜,taxon rank,种
1629年,followed by,1630年
贝加尔湖,country,俄罗斯
substance,subclass of,实体
1523年,instance of,年
黄金时代,main subject,航空
substance,said to be the same as,材料
流砂,subclass of,大陆
FDR,sex or gender,男性
扁蚜科,taxon rank,科
粤语,instance of,语言
机械,subclass of,工具
人工呼吸,part of,医学
FDR,country of citizenship,美国
恩施市,country,中华人民共和国
扁蚜科,parent taxon,蚜虫
机械,subclass of,装置
大黍,taxon rank,种
胚胎,subclass of,生物
林特,country,比利时
叉角羚科,taxon rank,种
陆龟科,taxon rank,科
FDR,given name,Franklin
恩施市,capital of,巴国
黄金时代,country of origin,美国
黑脚,instance of,族群
布伦纳,instance of,市镇
Irish,instance of,语言
迪克森,instance of,城市
粤语,subclass of,汉语
机械,field of work,工程学
大黍,parent taxon,黍属
胚胎,follows,受精卵
黄金时代,original language of work,英语
布伦纳,country,意大利
Johnston,country,美国
迪克森,instance of,县城
胚胎,followed by,fetus
林特,shares border with,利尔
半抗原,instance of,分子
egg,subclass of,卵
糖,instance of,概念
学术期刊,subclass of,期刊
迪克森,country,美国
胚胎,followed by,孢子体
陆龟科,Code of nomenclature,国际动物命名法规
葛布,sex or gender,女性
珠江口,instance of,三角洲
非洲油棕,taxon rank,种
唾液腺,subclass of,外分泌腺
egg,subclass of,食物
迪克森,located in the administrative territorial entity,伊利诺伊州
胚胎,location of final assembly,子宫
194年,instance of,年
超氧化物歧化酶,instance of,酶
黄山风景区,instance of,山脉
人口增长率,subclass of,growth
珠江口,country,中华人民共和国
非洲油棕,parent taxon,油棕属
糖,country,德国
学术期刊,has part,文章
厄运,country of origin,美国
大亚湾,country,中华人民共和国
Jonathan,language of work or name,英语
超氧化物歧化酶,found in taxon,智人
黄山风景区,instance of,保护区
珠江口,located in the administrative territorial entity,广东省
学术期刊,different from,科学期刊
厄运,language of work or name,英语
霍利,instance of,镇
明州,instance of,州
巴丹吉林沙漠,instance of,荒漠
奎尼丁,instance of,化合物
中国古籍,subclass of,中国文学
黄山风景区,part of,安徽省
Irish,writing system,拉丁文字
胚胎,different from,胚芽
豹子花,taxon rank,种
木薯属,taxon rank,属
明州,country,中华人民共和国
巴丹吉林沙漠,country,中华人民共和国
194年,followed by,195年
Jonathan,writing system,拉丁文字
霍利,country,英国
木薯属,parent taxon,大戟科
巴丹吉林沙漠,located in the administrative territorial entity,甘肃省
黄山风景区,country,中华人民共和国
黄山风景区,located in the administrative territorial entity,安徽省
Jonathan,family name identical to this given name,Jonathan
Jonathan,different from,Jonathan
FDR,native language,英语
FDR,languages spoken written or signed,英语
奎尼丁,significant drug interaction,氯丙嗪
FDR,languages spoken written or signed,法语
酸沼,subclass of,湿地
莱姆病,instance of,疾病
perfect,subclass of,体
Hardy,writing system,拉丁文字
Burger,instance of,姓氏
中国大学,country,中华人民共和国
Hardy,family name identical to this given name,Hardy
奎尼丁,significant drug interaction,可卡因
FDR,occupation,政治家
光叶闭鞘姜,taxon rank,种
桑寄生,taxon rank,种
褐云玛瑙螺,taxon rank,种
桤木,taxon rank,种
FDR,position held,美国总统
slp,instance of,基因
放线菌酮,instance of,化合物
长廊,country,中华人民共和国
清凉峰自然保护区,country,中华人民共和国
桑寄生,parent taxon,钝果寄生属
桤木,parent taxon,桤木属
Burger,writing system,拉丁文字
slp,subclass of,基因
汤池,sex or gender,男性
Kohler,country,美国
薄叶润楠,taxon rank,种
Burger,different from,Burger
钙通道,subclass of,离子通道
desert,subclass of,景观
幂律,instance of,物理定律
汤池,country of citizenship,中华人民共和国
薄叶润楠,parent taxon,润楠属
幂律,subclass of,概率分布
网络崖豆藤,taxon rank,种
汤池,member of political party,中国共产党
满月,instance of,月相
1180年,instance of,年
牯岭,country,中华人民共和国
Silk,country of origin,法国
奎尼丁,significant drug interaction,红霉素
宋子安,sex or gender,男性
Silk,country of origin,英国
磷酸酯,subclass of,酯
1922年,instance of,年
CHS,instance of,疾病
柠檬酸铵,instance of,化合物
光州,instance of,县
Silk,country of origin,意大利
黄金时代,color,黑白
Petch,sex or gender,男性
光州,country,中华人民共和国
满月,opposite of,新月
1180年,followed by,1181年
Silk,country of origin,加拿大
丰州,instance of,州
福特,instance of,姓氏
花港观鱼,country,中华人民共和国
Petch,country of citizenship,英国
磷酸酯,has part,氧
1922年,follows,1921年
同志,different from,药物
Silk,country of origin,日本
蝴蝶果属,taxon rank,属
扬子,sex or gender,男性
乔木,sex or gender,男性
福特,language of work or name,英语
李思忠,sex or gender,男性
Petch,given name,托马斯
磷酸酯,has part,磷
1922年,followed by,1923年
Silk,original language of work,英语
推理机,subclass of,program
丙二酸,instance of,化合物
Pierre,instance of,城市
蝴蝶果属,parent taxon,大戟科
扬子,country of citizenship,中国
乔木,country of citizenship,中国
福特,writing system,拉丁文字
李思忠,country of citizenship,中华人民共和国
FDR,nominated for,诺贝尔和平奖
丙二酸,found in taxon,智人
宁夏枸杞,subclass of,蔬菜
Pierre,instance of,县城
扬子,family name,杨
乔木,country of citizenship,中华人民共和国
福特,different from,Ford
李思忠,family name,李
FDR,nominated for,诺贝尔和平奖
黑牛,subclass of,饮料
仿生学,subclass of,生物学
姓氏,part of,人名
佩拉,country,希腊
丙二酸,has part,氧
宁夏枸杞,taxon rank,种
扬子,languages spoken written or signed,汉语
乔木,place of birth,盐城市
福特,different from,福特
神话传说,input method,手柄
FDR,nominated for,诺贝尔和平奖
雷雨云,subclass of,云
法称,sex or gender,男性
MS,named after,密西西比河
仿生学,subclass of,工程学
丙二酸,has part,碳
宁夏枸杞,parent taxon,枸杞属
乔木,place of death,北京市
李思忠,place of death,北京市
FDR,nominated for,诺贝尔和平奖
法称,occupation,哲学家
MS,official language,英语
Pierre,country,美国
扬子,occupation,诗人
李思忠,occupation,生物学家
MS,country,美国
Pierre,capital of,南达科他州
神话传说,ESRB rating,青少年
MS,capital,杰克逊
姓氏,said to be the same as,姓
李思忠,occupation,鱼类学家
MS,located in the administrative territorial entity,美国
李思忠,occupation,作者
FDR,educated at,哥伦比亚大学
MS,located in or next to body of water,墨西哥湾
Pierre,located in or next to body of water,密苏里河
FDR,residence,纽约
MS,located in or next to body of water,密西西比河
乔木,educated at,清华大学
李思忠,occupation,教师
乔木,member of political party,中国共产党
李思忠,field of work,鱼类学
李思忠,field of work,动物地理学
MS,deepest point,墨西哥湾
李思忠,influenced by,张春霖
李思忠,influenced by,朱元鼎
光州,contains administrative territorial entity,黄湖农场
Silk,narrative location,日本
Silk,filming location,日本
奎尼丁,has part,氮
光州,shares border with,固始县
Silk,color,彩色
奎尼丁,has part,碳
光州,shares border with,商城县
光州,shares border with,息县
李思忠,significant event,文化大革命
山梨酸,instance of,化合物
通城县,instance of,县
大月,instance of,时间单位
清塘,instance of,湖泊
李思忠,educated at,北京师范大学
君山岛,country,中华人民共和国
山梨酸,has part,氧
黄泥螺,taxon rank,种
清塘,country,俄罗斯
阖闾,sex or gender,男性
罗马人,subclass of,公民权
垃圾箱,subclass of,容器
潮田,instance of,姓氏
山梨酸,has part,碳
通城县,country,中华人民共和国
李思忠,work location,北京市
梨球针壳,taxon rank,种
常州市,country,中华人民共和国
潮田,language of work or name,日语
大月,part of,年
葡萄糖酸,instance of,糖类
Halle,instance of,城市
橘色,instance of,颜色
常州市,located in the administrative territorial entity,江苏省
阖闾,sibling,僚
葡萄糖酸,instance of,化合物
江津,sex or gender,男性
荀况,sex or gender,男性
滇丁香,taxon rank,种
橘色,subclass of,颜色
氟甲烷,instance of,化合物
临漳县,instance of,县
江津,country of citizenship,中华人民共和国
荀况,country of citizenship,齐国
大月,different from,月
阖闾,sibling,通
王同,sex or gender,男性
临漳县,country,中华人民共和国
Sus,taxon rank,属
头纹宽吻鲀,taxon rank,种
Halle,instance of,市镇
江津,family name,江
荀况,place of birth,赵国
橘色,named after,橙
李思忠,contributed to published work,动物学报
IPN,instance of,研究所
葡萄糖酸,has part,氧
Halle,country,德国
江津,place of birth,天津市
荀况,place of death,楚国
常州市,contains administrative territorial entity,新北区
李思忠,contributed to published work,动物分类学报
破伤风梭菌,taxon rank,种
湾头镇,country,中华人民共和国
Fraser,sex or gender,男性
环保,part of,政治
Mycoplasmatales,taxon rank,目
IPN,headquarters location,华沙
临漳县,located in the administrative territorial entity,邯郸市
Jade,writing system,拉丁文字
葡萄糖酸,has part,碳
Halle,country,东德
荀况,occupation,哲学家
Ka,instance of,西里尔字母
地下河,subclass of,河流
NPD,instance of,政党
Fraser,country of citizenship,英国
Sus,different from,Sus
Jade,family name identical to this given name,Jade
李思忠,contributed to published work,中国大百科全书
Ka,part of,西里尔字母
轻工,subclass of,产业
齐齐哈尔市,country,中华人民共和国
NPD,country,德国
环保,studied by,环境科学
Mycoplasmatales,Gram staining,革兰氏阴性菌
荀况,student,李斯
CCT,instance of,基因
Ferguson,instance of,姓氏
拳,instance of,手势
地下河,subclass of,地下水
Fraser,occupation,昆虫学家
荀况,ethnic group,汉族
例外,country of origin,英国
李连捷,sex or gender,男性
白鲟,taxon rank,种
拳,part of,手
齐齐哈尔市,located in the administrative territorial entity,黑龙江省
NPD,headquarters location,柏林
常州市,sister city,普拉托
金沙江,instance of,河流
k,instance of,自然数
例外,original language of work,英语
李连捷,country of citizenship,中华人民共和国
CCT,found in taxon,智人
Ferguson,language of work or name,英语
Mer,country,法国
金沙江,origin of the watercourse,通天河
海克尔,sex or gender,男性
栓皮栎,taxon rank,种
李连捷,family name,李
Ferguson,writing system,拉丁文字
NPD,political ideology,民族
常州市,shares border with,苏州市
金沙江,mouth of the watercourse,长江
栓皮栎,parent taxon,栎属
江津,sport,足球
金沙江,country,中华人民共和国
金沙江,located in the administrative territorial entity,西藏自治区
海克尔,given name,Ernst
金沙江,watershed,长江流域
例外,color,彩色
海克尔,given name,奥古斯特
例外,MPAA film rating,R
齐齐哈尔市,contains administrative territorial entity,甘南县
海克尔,languages spoken written or signed,拉丁语
海克尔,occupation,生物学家
海克尔,occupation,医生
齐齐哈尔市,contains administrative territorial entity,克东县
海克尔,occupation,哲学家
海克尔,occupation,艺术家
Hire,instance of,姓氏
柠檬醛,instance of,醛
肉类食物,subclass of,食物
峨嵋山,instance of,山
Halle,sister city,格勒诺布尔
Hire,writing system,拉丁文字
抚顺市,country,中华人民共和国
秦德公,sex or gender,男性
柠檬醛,instance of,化合物
拉萨河,instance of,河流
785年,instance of,年
甲骨文,subclass of,中文
Hire,different from,Hire
抚顺市,located in the administrative territorial entity,辽宁省
秦德公,country of citizenship,秦国
市镇,subclass of,基层政权
峨嵋山,country,中华人民共和国
海克尔,occupation,鱼类学家
种畜场,country,中华人民共和国
拉萨河,mouth of the watercourse,布拉马普特拉河
借贷,has quality,利率
黄骅县,country,中华人民共和国
柠檬醛,has part,氧
市镇,country,意大利
海克尔,field of work,共同起源
齐齐哈尔市,sister city,佛山市
数学家,instance of,专业
785年,follows,784年
油画,different from,油彩
柠檬醛,has part,碳
市镇,office held by head of government,市长
肉类食物,has part,肌肉
齐齐哈尔市,sister city,湛江市
Halle,sister city,嘉兴市
丽纹蛇,taxon rank,种
千屈菜,taxon rank,种
拉萨河,continent,亚洲
785年,followed by,786年
黄骅县,located in the administrative territorial entity,沧州市
1450年,instance of,年
氯丁橡胶,instance of,聚合物
fh,instance of,基因
数学家,field of this occupation,数学
拉萨河,country,中华人民共和国
秦德公,child,秦穆公
草兔,taxon rank,种
磷酸甘油酸激酶,subclass of,蛋白质
王永,sex or gender,男性
Kt,subclass of,骑士
千屈菜,has fruit type,蒴果
Jennings,instance of,城市
东京梦华录,instance of,文学作品
巯基乙醇,instance of,化合物
草兔,parent taxon,野兔
磷酸甘油酸激酶,found in taxon,智人
德国社会民主党,instance of,政党
Kt,country,英国
借贷,has quality,量
秦德公,child,秦宣公
Jennings,country,美国
杨慎,sex or gender,男性
海南岛,country,中华人民共和国
虎尾兰属,taxon rank,属
滇楠,taxon rank,种
巯基乙醇,has part,氧
Carmen,language of work or name,法语
齐齐哈尔市,sister city,泸州市
Jennings,located in the administrative territorial entity,路易斯安那州
杨慎,country of citizenship,明朝
海南岛,located in the administrative territorial entity,海南省
滇楠,parent taxon,楠属
巯基乙醇,has part,硫
齐齐哈尔市,sister city,黑河市
杨慎,family name,杨
海南岛,located in or next to body of water,南海
巯基乙醇,has part,碳
抚顺市,sister city,阿拉德
杨慎,place of birth,成都市
海南岛,located in or next to body of water,北部湾
海南岛,located in or next to body of water,琼州海峡
Carmen,narrative location,西班牙
杨慎,languages spoken written or signed,汉语
fh,ortholog,延胡索酸酶
杨慎,occupation,诗人
齐齐哈尔市,sister city,牡丹江市
齐齐哈尔市,sister city,绍兴市
齐齐哈尔市,sister city,西双版纳傣族自治州
齐齐哈尔市,sister city,盐城市
川,subclass of,流水
岛屿国家,subclass of,国家
东马来西亚,country,马来西亚
亚纲,part of,纲
岛屿国家,subclass of,国家
寄生植物,subclass of,植物
榷,instance of,图书
自序,subclass of,序
白木通,parent taxon,三叶木通
玄参科,taxon rank,科
长尾阔嘴鸟,taxon rank,种
寄生植物,subclass of,parasite
自序,part of,图书
郑章成,occupation,生物学家
物种起源,instance of,图书
亚甲基蓝,instance of,化合物
P值,instance of,函数
甘肃省,country,中华人民共和国
大盐湖,basin country,美国
川,has part,水
德国社会民主党,country,德国
林区,country,中华人民共和国
元旦,instance of,新年
W.,writing system,拉丁文字
大盐湖,country,美国
自序,said to be the same as,引言
350年,instance of,年
林道,instance of,市镇
茜,instance of,名字
欧姆,based on,伏特
W.,different from,W.
甘肃省,located in the administrative territorial entity,中华人民共和国
大盐湖,located in the administrative territorial entity,犹他州
卡尔德,country,匈牙利
毛叶石楠,taxon rank,种
林道,country,德国
欧姆,based on,安培
毛叶石楠,parent taxon,石楠属
茜,language of work or name,汉语
欧姆,measured physical quantity,电阻
物种起源,main subject,生物学
玄参科,has fruit type,蒴果
蒲苇,taxon rank,种
洋水仙,taxon rank,种
Edgar,language of work or name,法语
大花萱草,taxon rank,种
茜,writing system,汉字
欧姆,measured physical quantity,阻抗
元旦,named after,新年
德国社会民主党,color,红色
1991年,instance of,年
红霉素,instance of,化合物
PMF,subclass of,企业
方向盘,subclass of,equipment
洋水仙,parent taxon,水仙属
Edgar,language of work or name,英语
茜,family name identical to this given name,钱
物种起源,genre,生物学
德国社会民主党,educated at,波恩大学
王棕,taxon rank,种
明祖陵,country,中华人民共和国
物种起源,genre,科学
亚甲基蓝,has part,氮
甘肃省,contains administrative territorial entity,天水市
伯斯,instance of,城市
南康郡,instance of,郡
1991年,follows,1990年
王棕,parent taxon,王棕属
明祖陵,located in the administrative territorial entity,盱眙县
Edgar,writing system,拉丁文字
Anti,language of work or name,英语
物种起源,genre,专论
亚甲基蓝,has part,硫
Steve,language of work or name,英语
伯斯,country,英国
陈荣,sex or gender,女性
田地,use,cultivation
金豆,taxon rank,种
白令,sex or gender,男性
1991年,followed by,1992年
红霉素,subclass of,抗菌药
亚甲基蓝,has part,碳
陈荣,country of citizenship,中华人民共和国
田地,opposite of,放牧地
金豆,parent taxon,金橘
白令,country of citizenship,丹麦
Steve,writing system,拉丁文字
陈荣,place of birth,河北省
Edgar,family name identical to this given name,Edgar
Steve,family name identical to this given name,Steve
Edgar,different from,Edgar
Steve,different from,Steve
陈荣,sports discipline competed in,马拉松
Steve,said to be the same as,Steven
伯斯,sister city,海口市
MS,shares border with,路易斯安那州
MS,shares border with,阿肯色州
甘肃省,contains administrative territorial entity,甘南藏族自治州
MS,shares border with,田纳西州
MS,shares border with,亚拉巴马州
物种起源,country of origin,英国
甘肃省,shares border with,新疆维吾尔自治区
物种起源,language of work or name,英语
甘肃省,shares border with,内蒙古自治区
物种起源,original language of work,英语
甘肃省,shares border with,青海省
甘肃省,shares border with,四川省
甘肃省,shares border with,陕西省
甘肃省,shares border with,宁夏回族自治区
红霉素,medical condition treated,尿道炎
红霉素,medical condition treated,淋病
灌溉管理,subclass of,管理学
丁二酮,instance of,化合物
南平市,country,中华人民共和国
丁二酮,has part,氧
IRL,instance of,国家
红霉素,medical condition treated,炭疽病
雄县,instance of,县
运河区,instance of,区
人欲,instance of,诗
南平市,located in the administrative territorial entity,福建省
丁二酮,has part,碳
白檀,taxon rank,种
雄县,country,中华人民共和国
运河区,country,中华人民共和国
人欲,genre,唐诗
Carbon,instance of,科学期刊
辽东郡,instance of,郡
白檀,parent taxon,山矾属
人欲,country of origin,唐朝
盘羊,taxon rank,种
周文王,sex or gender,男性
协会,subclass of,非政府组织
pathology,has effect,染色体疾病
莠去津,instance of,化合物
雄县,located in the administrative territorial entity,保定市
运河区,located in the administrative territorial entity,沧州市
人欲,language of work or name,文言文
Carbon,field of work,物理学
南平市,contains administrative territorial entity,浦城县
盐铁论,instance of,文本
巧克力,subclass of,食物
图书,subclass of,文献
周文王,country of citizenship,周朝
莠去津,instance of,除草剂
Carbon,field of work,材料科学
盐铁论,language of work or name,汉语
图书,subclass of,出版物
大庆,instance of,年号
pathology,studies,疾病
莠去津,instance of,杂环化合物
草铵膦,instance of,化合物
埃文斯顿,instance of,城市
Clementine,writing system,拉丁文字
Carbon,main subject,物理学
南平市,contains administrative territorial entity,政和县
IRL,official language,英语
苏云金芽孢杆菌,taxon rank,种
草铵膦,instance of,除草剂
埃文斯顿,country,美国
Clementine,different from,Clementine
Carbon,main subject,材料科学
红霉素,significant drug interaction,氯丙嗪
利血平,instance of,化合物
水经注,instance of,文学作品
Sigma,country,菲律宾
巧克力,country of origin,南美洲
泰西,country,法国
洛阳工学院,country,中华人民共和国
龙葵,taxon rank,种
水经注,editor,郦道元
OPP,instance of,建筑物
Cavity,country of origin,美国
巧克力,country of origin,中美洲
图书,subclass of,文学作品
IRL,continent,欧洲
OPP,country,美国
天地人,country of origin,日本
图书,material used,纸
周文王,child,周武王
Carbon,language of work or name,英语
IRL,capital,都柏林
龙葵,has fruit type,浆果
天地人,original language of work,日语
Sigma,office held by head of government,市长
AV,language of work or name,英语
巧克力,material used,食糖
红霉素,significant drug interaction,可卡因
OPP,owned by,纽约
图书,material used,纸板
巧克力,has part,食糖
图书,use,信息源
巧克力,has part,可可豆
IRL,basic form of government,共和制
利血平,has part,氮
利血平,has part,碳
图书,has quality,作者
图书,has quality,出版社
图书,has part,文本
IRL,diplomatic relation,意大利
IRL,diplomatic relation,法国
IRL,diplomatic relation,德国
IRL,diplomatic relation,赞比亚
IRL,diplomatic relation,澳大利亚
周文王,occupation,君主
IRL,diplomatic relation,俄罗斯
胭脂红,instance of,色素
US,instance of,政党
CP,instance of,疾病
周文王,family,周朝
IRL,diplomatic relation,加拿大
香兰,taxon rank,种
胭脂红,instance of,化合物
斯洛伐克人,instance of,族群
小果咖啡,taxon rank,种
北半球,part of,地球
IRL,diplomatic relation,乌克兰
红霉素,significant drug interaction,奎尼丁
警句,subclass of,诗
延光,instance of,年号
辰州,instance of,州
US,headquarters location,布拉格
北半球,named after,北
IRL,diplomatic relation,白俄罗斯
辰州,country,中华人民共和国
胭脂红,natural product of taxon,胭脂虫
小果咖啡,has fruit type,浆果
北半球,opposite of,南半球
庐山云雾茶,country,中华人民共和国
砀山县,instance of,县
1578年,instance of,年
布朗族,instance of,族群
亚拉巴马州,official language,英语
斯洛伐克人,religion,天主教
小果咖啡,this taxon is source of,咖啡豆
IRL,diplomatic relation,以色列
无患子科,taxon rank,科
By,country,法国
砀山县,country,中华人民共和国
红茄苳,taxon rank,种
沙蚕,taxon rank,属
数据库,has part,数据
胭脂红,has part,氧
1756年,instance of,年
红茄苳,parent taxon,红树属
亚拉巴马州,continent,北美洲
胭脂红,has part,碳
IRL,diplomatic relation,英国
刺槐,taxon rank,种
1756年,instance of,闰年
山桐子,taxon rank,种
忠清北道,country,大韩民国
天蓝苜蓿,taxon rank,种
砀山县,replaces,砀山县
亚拉巴马州,country,美国
刺槐,parent taxon,刺槐属
忠清北道,capital,清州市
天蓝苜蓿,parent taxon,苜蓿
亚拉巴马州,capital,蒙哥马利
IRL,diplomatic relation,哥伦比亚
刺槐,inflorescence,总状花序
1756年,follows,1755年
忠清北道,located in the administrative territorial entity,大韩民国
IRL,diplomatic relation,丹麦
刺槐,this taxon is source of,Robinia
菱形,follows,正三角形
1756年,followed by,1757年
忠清北道,office held by head of government,省长
菱形,dual to,矩形
忠清北道,sister city,山梨县
亚拉巴马州,located in the administrative territorial entity,美国
IRL,diplomatic relation,埃塞俄比亚
菱形,has facet polytope,边
忠清北道,shares border with,京畿道
IRL,diplomatic relation,南非
忠清北道,shares border with,江原道
亚拉巴马州,deepest point,墨西哥湾
IRL,diplomatic relation,巴基斯坦
菱形,has quality,面积
菱形,has part,半径
IRL,diplomatic relation,菲律宾
菱形,has part,边
IRL,diplomatic relation,墨西哥
IRL,diplomatic relation,美国
IRL,diplomatic relation,中华人民共和国
IRL,diplomatic relation,希腊
大古力水坝,instance of,重力坝
crack,instance of,兴奋剂
Merrill,instance of,名字
霍城县,instance of,县
流体动力学,instance of,科学分支
IRL,diplomatic relation,印度
大古力水坝,country,美国
Merrill,writing system,拉丁文字
霍城县,country,中华人民共和国
IRL,diplomatic relation,孟加拉国
H4,instance of,基因
大古力水坝,located in the administrative territorial entity,华盛顿州
溺水,has cause,呼吸
Merrill,family name identical to this given name,Merrill
IRL,diplomatic relation,格鲁吉亚
Aster,taxon rank,属
鹡鸰科,taxon rank,科
CSE,instance of,企业
溺水,has effect,死亡
Merrill,different from,Merrill
硝酸铋,instance of,化合物
鹡鸰科,parent taxon,雀形目
CSE,country,丹麦
H4,found in taxon,智人
Arth,country,瑞士
流体动力学,has part,空气动力学
IRL,member of,联合国
硝酸铋,has part,铋
仓鼠,taxon rank,亚科
公里,measured physical quantity,长度
佩兰,taxon rank,种
ATA,continent,南极洲
阿纳德尔,instance of,城市
农业气象学,part of,气象学
1902年,instance of,年
大凉山,instance of,山脉
草木子,instance of,文学作品
硝酸铋,has part,氧
仓鼠,parent taxon,鼠科
波希米亚,country,捷克
氧化物,subclass of,化合物
鹡鸰科,Code of nomenclature,国际动物命名法规
CSE,headquarters location,哥本哈根
开发商,subclass of,专业
微孢子虫,taxon rank,门
大凉山,country,中华人民共和国
波希米亚,capital,布拉格
ATA,territory claimed by,挪威
IRL,member of,欧洲空间局
阿纳德尔,country,俄罗斯
士,language of work or name,汉语
微孢子虫,parent taxon,真菌
波希米亚,located in the administrative territorial entity,捷克
ATA,territory claimed by,新西兰
士,writing system,汉字
1902年,follows,1901年
ATA,territory claimed by,法国
1902年,followed by,1903年
ATA,territory claimed by,澳大利亚
士,said to be the same as,施
微孢子虫,Code of nomenclature,国际动物命名法规
ATA,territory claimed by,智利
士,said to be the same as,石
ATA,territory claimed by,阿根廷
士,said to be the same as,时
ATA,territory claimed by,英国
士,said to be the same as,释
